City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Camacha,33.08,-16.33,75.2,64,20,14.99,PT,1595866673
São Filipe,14.9,-24.5,76.8,74,0,10.89,CV,1595866674
Butaritari,3.07,172.79,82.92,77,95,11.7,KI,1595866675
Szczytno,53.56,20.99,75.2,53,66,5.82,PL,1595866677
Champotón,19.35,-90.72,87.8,66,40,7.83,MX,1595866678
Kavaratti,10.57,72.64,82.53,79,99,12.75,IN,1595866679
Port Elizabeth,-33.92,25.57,55.4,71,0,5.82,ZA,1595866680
Puerto Colombia,10.99,-74.95,87.8,66,40,9.17,CO,1595866681
Mezen',65.85,44.24,65.46,77,7,6.78,RU,1595866682
Shenjiamen,29.96,122.3,78.75,93,100,17.49,CN,1595866683
Cherskiy,68.75,161.3,38.61,76,51,11.79,RU,1595866685
Port Lincoln,-34.73,135.87,50.81,79,14,6.53,AU,1595866686
Redlands,34.06,-117.18,78.01,41,5,3.04,US,1595866599
Puerto Ayora,-0.74,-90.35,71.6,78,75,16.11,EC,1595866688
Hasaki,35.73,140.83,78.01,100,75,3.36,JP,1595866690
Upernavik,72.79,-56.15,44.4,77,3,6.38,GL,1595866691
Leningradskiy,69.38,178.42,34.2,90,72,13.58,RU,1595866693
George Town,5.41,100.34,78.8,94,40,3.36,MY,1595866580
Isabela,6.71,121.97,77.0,94,75,2.24,PH,1595866695
Kaeo,-35.1,173.78,55.0,3,66,3.0,NZ,1595866696
Faanui,-16.48,-151.75,78.44,82,100,15.01,PF,1595866698
Mar del Plata,-38.0,-57.56,48.2,57,40,19.46,AR,1595866699
Fortuna,40.6,-124.16,62.01,87,9,2.93,US,1595866700
Oistins,13.07,-59.53,89.6,62,40,21.92,BB,1595866701
Lamar,33.67,-95.58,82.99,74,90,6.93,US,1595866702
Zubtsov,56.18,34.59,73.42,76,2,1.59,RU,1595866703
Rocha,-34.48,-54.33,58.62,65,2,8.99,UY,1595866704
Half Moon Bay,37.46,-122.43,64.99,82,90,3.36,US,1595866706
Bandarbeyla,9.49,50.81,79.07,76,57,27.78,SO,1595866707
Verāval,20.9,70.37,84.31,79,6,13.76,IN,1595866708
Codrington,-38.27,141.97,46.35,87,0,5.1,AU,1595866710
Comodoro Rivadavia,-45.87,-67.5,44.6,48,20,12.75,AR,1595866711
Oerlinghausen,51.95,8.66,73.99,63,100,4.0,DE,1595866712
Bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1595866713
Namatanai,-3.67,152.43,79.47,79,93,4.47,PG,1595866714
East London,-33.02,27.91,60.64,63,7,10.94,ZA,1595866675
Imbituba,-28.24,-48.67,68.0,72,75,1.12,BR,1595866717
Shimoda,34.67,138.95,70.0,94,100,1.01,JP,1595866719
Ilulissat,69.22,-51.1,44.6,81,75,9.17,GL,1595866720
Poya,-21.35,165.15,68.79,85,95,6.69,NC,1595866721
São João da Barra,-21.64,-41.05,80.6,51,20,16.11,BR,1595866722
Bay-Khaak,51.17,94.5,58.14,57,51,3.24,RU,1595866723
Miandrivazo,-19.52,45.47,73.94,32,62,3.36,MG,1595866724
Dikson,73.51,80.55,38.46,89,74,15.1,RU,1595866725
Sasina,44.8,16.74,86.0,37,20,2.24,BA,1595866727
Barrow,71.29,-156.79,39.2,86,90,20.8,US,1595866728
Straumen,63.87,11.3,69.8,56,20,10.29,NO,1595866729
Pushchino,54.83,37.63,66.2,72,40,6.71,RU,1595866730
Porto-Novo,6.5,2.6,80.6,78,20,16.11,BJ,1595866731
Carnarvon,-24.87,113.63,60.8,87,0,8.05,AU,1595866732
Cooma,-36.23,149.13,42.8,100,90,20.8,AU,1595866733
Ambilobe,-13.2,49.05,72.61,76,91,1.99,MG,1595866735
Luena,-11.78,19.92,73.11,29,0,4.52,AO,1595866736
Nabire,-3.37,135.48,75.65,91,100,5.75,ID,1595866737
Obo,5.4,26.49,75.34,90,72,1.54,CF,1595866738
Sistranda,63.73,8.83,68.0,56,20,11.41,NO,1595866739
Acapulco de Juárez,16.86,-99.89,86.0,70,40,4.7,MX,1595866504
Leticia,-4.22,-69.94,84.2,74,40,5.82,CO,1595866741
Faya,18.39,42.45,68.0,68,75,5.82,SA,1595866743
Sembakung,3.82,117.25,75.67,92,86,1.79,ID,1595866744
Agirish,61.92,63.02,58.12,61,41,4.79,RU,1595866745
Río Gallegos,-51.62,-69.22,37.4,74,40,28.86,AR,1595866580
Tura,25.52,90.22,75.9,96,100,5.95,IN,1595866747
Auki,-8.77,160.7,77.52,87,40,4.29,SB,1595866748
Dunedin,-45.87,170.5,43.0,70,70,1.01,NZ,1595866691
Thompson,55.74,-97.86,60.8,93,90,9.17,CA,1595866750
Cabo San Lucas,22.89,-109.91,86.0,54,40,18.34,MX,1595866476
Laas,46.62,10.7,78.01,64,40,11.41,IT,1595866525
Sinnamary,5.38,-52.95,87.55,58,25,3.47,GF,1595866754
Lüderitz,-26.65,15.16,78.8,26,0,11.41,NA,1595866755
Loandjili,-4.76,11.86,80.6,65,20,9.17,CG,1595866756
Parfen'yevo,58.48,43.41,66.97,84,74,2.24,RU,1595866757
Provideniya,64.38,-173.3,50.99,87,52,7.29,RU,1595866758
Pirapora,-17.34,-44.94,84.52,29,0,9.66,BR,1595866760
Honningsvåg,70.98,25.97,60.8,67,2,2.24,NO,1595866761
Jalu,29.03,21.55,100.26,16,0,11.72,LY,1595866762
São Gabriel da Cachoeira,-0.13,-67.09,82.4,78,40,6.93,BR,1595866764
Peruíbe,-24.32,-47.0,75.2,66,73,4.76,BR,1595866767
Marzuq,14.4,46.47,79.84,57,100,9.86,YE,1595866769
High Level,58.52,-117.14,69.8,68,20,5.82,CA,1595866535
Marsabit,2.33,37.99,76.33,42,62,14.14,KE,1595866771
Geraldton,-28.77,114.6,57.2,93,40,4.7,AU,1595866773
Clyde River,70.47,-68.59,42.8,100,90,13.87,CA,1595866774
West Bay,19.37,-81.42,91.4,66,20,13.87,KY,1595866631
Taltal,-25.4,-70.48,64.31,52,21,3.98,CL,1595866776
Isangel,-19.55,169.27,71.6,83,30,4.7,VU,1595866777
Raahe,64.68,24.48,73.4,49,94,4.7,FI,1595866779
Mossamedes,-15.2,12.15,72.45,62,0,12.44,AO,1595866781
Sibu,2.3,111.82,78.8,88,40,1.21,MY,1595866782
Navahrudak,53.6,25.83,75.56,71,41,2.62,BY,1595866783
Atambua,-9.11,124.89,66.34,85,64,6.62,ID,1595866784
The Valley,18.22,-63.06,87.8,62,40,17.22,AI,1595866686
Yuxia,34.06,108.63,81.0,94,23,6.71,CN,1595866787
Klyuchi,52.27,79.17,65.91,59,60,5.19,RU,1595866788
Beringovskiy,63.05,179.32,60.35,70,3,6.73,RU,1595866790
Lebu,-37.62,-73.65,48.69,69,7,11.34,CL,1595866791
Alès,44.13,4.08,86.0,42,0,13.0,FR,1595866792
Wilmington,34.23,-77.94,93.99,59,1,10.29,US,1595866603
Miraflores,19.22,-98.81,68.0,52,75,3.6,MX,1595866796
Tocopilla,-22.09,-70.2,66.09,44,15,3.02,CL,1595866797
Saurimo,-9.66,20.39,80.6,22,5,5.03,AO,1595866798
San Quintín,30.48,-115.95,69.53,77,97,7.49,MX,1595866799
Vilhena,-12.74,-60.15,80.6,51,0,11.41,BR,1595866801
Terra Santa,-2.1,-56.49,94.53,37,0,4.99,BR,1595866802
Mumford,5.26,-0.76,76.62,82,69,14.56,GH,1595866803
Atikokan,48.76,-91.62,69.44,65,26,10.51,CA,1595866804
Bodden Town,19.28,-81.25,91.4,66,20,13.87,KY,1595866805
Nuuk,64.18,-51.72,50.0,81,75,5.82,GL,1595866807
Necochea,-38.55,-58.74,46.99,71,57,17.0,AR,1595866808
Katsuura,35.13,140.3,80.6,94,75,11.41,JP,1595866809
Lavrentiya,65.58,-171.0,53.89,82,72,9.13,RU,1595866811
Kumul,42.8,93.45,90.54,12,62,3.78,CN,1595866812
Sørkjosen,69.8,20.93,73.4,43,63,11.41,NO,1595866813
Jilib,0.49,42.79,77.9,74,44,10.98,SO,1595866814
Havelock,34.88,-76.9,91.4,59,5,8.05,US,1595866815
Haines Junction,60.75,-137.51,47.14,83,100,3.76,CA,1595866817
Bilibino,68.05,166.44,50.99,68,100,0.51,RU,1595866772
Vostok,46.49,135.88,59.85,98,0,3.38,RU,1595866819
Las Choapas,17.93,-94.08,86.0,70,20,5.82,MX,1595866820
Tuatapere,-46.13,167.68,39.0,83,99,3.0,NZ,1595866822
Dzaoudzi,-12.79,45.27,69.8,88,75,23.04,YT,1595866823
Tiruchchendur,8.48,78.12,87.42,59,92,8.32,IN,1595866824
Mwinilunga,-11.74,24.43,70.34,28,0,5.44,ZM,1595866825
Itarema,-2.92,-39.92,86.99,49,15,16.62,BR,1595866827
Bintulu,3.17,113.03,78.8,94,40,3.36,MY,1595866828
Micheweni,-4.97,39.83,76.55,77,2,16.73,TZ,1595866829
Flin Flon,54.77,-101.86,71.6,49,20,12.75,CA,1595866830
Belmopan,17.25,-88.77,89.01,66,85,10.0,BZ,1595866832
Kirando,-7.42,30.6,73.35,55,0,6.31,TZ,1595866833
Ekhabi,53.51,142.97,53.01,93,11,6.78,RU,1595866834
Saryozek,44.36,77.98,70.09,39,13,6.67,KZ,1595866835
Hobyo,5.35,48.53,80.15,74,16,25.95,SO,1595866837
Sørland,67.67,12.69,57.2,93,75,8.05,NO,1595866779
Eskil,38.4,33.41,91.53,18,0,10.42,TR,1595866840
Sisimiut,66.94,-53.67,44.82,93,100,7.74,GL,1595866841
Fairbanks,64.84,-147.72,57.2,87,90,6.93,US,1595866783
Esperance,-33.87,121.9,59.0,93,90,13.87,AU,1595866843
Esim,4.87,-2.24,78.48,73,62,12.75,GH,1595866844
Formosa,-26.18,-58.18,73.4,64,77,3.36,AR,1595866784
Mt. Pleasant,32.79,-79.86,93.0,59,1,4.7,US,1595866847
Salalah,17.02,54.09,80.6,94,90,8.05,OM,1595866779
Westport,41.14,-73.36,91.99,46,1,13.87,US,1595866683
Port Montt,-41.47,-72.94,46.4,75,75,4.7,CL,1595866574
Alta Floresta,-9.88,-56.09,91.4,31,0,10.29,BR,1595866857
Poum,-20.23,164.02,73.51,81,99,20.04,NC,1595866797
Ribeira Grande,38.52,-28.7,80.6,69,20,12.75,PT,1595866813
Chernyshevskiy,63.01,112.47,50.04,65,99,8.01,RU,1595866863
Opuwo,-18.06,13.84,77.34,18,0,8.88,NA,1595866866
Chokurdakh,70.63,147.92,42.01,72,100,2.62,RU,1595866867
Buta,2.79,24.73,81.43,67,96,1.68,CD,1595866870
New Port Richey,28.24,-82.72,90.0,64,87,1.99,US,1595866875
Gongzhuling,43.5,124.82,69.17,91,99,3.89,CN,1595866879
Itumbiara,-18.42,-49.22,84.63,36,2,8.7,BR,1595866882
Ulladulla,-35.35,150.47,57.0,100,90,17.22,AU,1595866886
Port Alfred,-33.59,26.89,58.32,65,0,12.77,ZA,1595866777
Poncitlán,20.37,-102.92,68.0,72,90,3.36,MX,1595866889
Homer,59.64,-151.55,55.99,81,1,5.93,US,1595866890
Sitka,57.05,-135.33,53.6,93,90,5.82,US,1595866892
João Pinheiro,-17.74,-46.17,78.42,43,74,7.23,BR,1595866895
Dolores,-36.31,-57.68,54.23,53,94,14.99,AR,1595866897
Naze,28.37,129.48,80.6,100,20,3.36,JP,1595866899
Walvis Bay,-22.96,14.51,78.8,26,0,13.87,NA,1595866901
Slave Lake,55.28,-114.77,64.4,77,1,4.7,CA,1595866904
Esqueda,30.72,-109.58,78.04,63,22,5.41,MX,1595866905
Tokur,53.13,132.9,61.36,94,62,1.7,RU,1595866910
Brae,60.4,-1.35,53.6,93,75,10.29,GB,1595866911
Bosaso,11.28,49.18,89.47,52,86,4.97,SO,1595866912
Kirakira,-10.45,161.92,79.75,83,42,12.06,SB,1595866799
Yoichi,43.2,140.77,60.01,95,78,3.0,JP,1595866916
Kahului,20.89,-156.47,78.8,78,40,12.75,US,1595866917
North Battleford,52.78,-108.28,64.4,72,1,4.7,CA,1595866918
Panubigan,7.43,123.35,77.05,90,100,3.42,PH,1595866920
Colomi,-17.35,-65.87,71.6,17,0,2.66,BO,1595866921
Mocuba,-16.84,36.99,65.62,88,44,4.27,MZ,1595866922
Kavieng,-2.57,150.8,81.36,76,49,0.87,PG,1595866917
Ilhabela,-23.78,-45.36,77.31,59,39,4.68,BR,1595866915
Kruisfontein,-34.0,24.73,57.99,67,0,1.01,ZA,1595866926
Oranjemund,-28.55,16.43,70.48,32,0,10.8,NA,1595866927
Neuquén,-38.95,-68.06,46.4,39,0,13.87,AR,1595866768
Tiksi,71.69,128.87,40.41,84,99,3.56,RU,1595866908
Lixouri,38.2,20.43,87.8,45,0,17.22,GR,1595866931
Qaanaaq,77.48,-69.36,45.61,56,63,0.81,GL,1595866915
Djebeniana,35.03,10.91,89.6,52,0,10.29,TN,1595866934
Nokaneng,-19.67,22.27,68.09,23,0,7.45,BW,1595866935
Yarim,14.3,44.38,59.58,85,99,0.76,YE,1595866936
Kalianget,-7.05,113.93,79.21,78,71,11.34,ID,1595866937
Mitsamiouli,-11.38,43.28,76.06,75,100,12.75,KM,1595866939
Alugan,12.22,125.48,78.84,89,100,5.21,PH,1595866941
Sungai Penuh,-2.08,101.38,62.67,90,92,2.86,ID,1595866942
San Jose,37.34,-121.89,69.01,72,40,2.17,US,1595866783
Ouallam,14.32,2.09,95.0,41,41,9.31,NE,1595866945
Qaqortoq,60.72,-46.03,53.6,66,75,4.7,GL,1595866946
Nanortalik,60.14,-45.24,47.01,82,100,7.23,GL,1595866948
Vao,-22.67,167.48,72.01,77,57,20.4,NC,1595866928
Egvekinot,66.32,-179.17,54.09,85,46,7.83,RU,1595866779
Sovetskiy,61.36,63.58,62.24,52,26,4.94,RU,1595866955
Saýat,38.78,63.88,91.4,21,0,4.7,TM,1595866958
Nelson Bay,-32.72,152.15,55.0,93,75,23.04,AU,1595866959
Nishihara,26.18,127.76,82.4,78,20,5.82,JP,1595866962
Lompoc,34.64,-120.46,57.99,93,90,4.7,US,1595866716
Sept-Îles,50.2,-66.38,66.2,82,75,5.82,CA,1595866965
Vícar,36.83,-2.64,86.0,70,21,12.75,ES,1595866966
Baykit,61.67,96.37,55.31,82,100,3.33,RU,1595866967
Khatanga,71.97,102.5,42.82,76,20,5.41,RU,1595866784
College,64.86,-147.8,57.2,82,90,4.7,US,1595866807
Bukachacha,52.98,116.92,64.99,78,98,2.89,RU,1595866971
Anadyr,64.75,177.48,60.8,67,0,4.47,RU,1595866972
Aberdeen,57.14,-2.1,57.2,93,100,9.17,GB,1595866973
Biloela,-24.42,150.5,49.06,61,81,2.42,AU,1595866975
Maceió,-9.67,-35.74,80.6,65,75,19.46,BR,1595866756
Dingle,11.0,122.67,77.76,88,100,1.97,PH,1595866977
Muravlenko,63.79,74.52,53.62,59,75,13.2,RU,1595866978
North Vernon,39.01,-85.62,87.01,70,40,10.29,US,1595866979
Bharatpur,27.22,77.48,95.45,45,64,4.76,IN,1595866981
Puerto Escondido,15.85,-97.07,84.2,79,90,5.82,MX,1595866824
Kiryat Gat,31.61,34.76,86.0,62,20,8.05,IL,1595866684
Borovskoy,53.8,64.15,59.95,72,8,7.36,KZ,1595866984
Woodland,38.68,-121.77,75.99,63,20,5.82,US,1595866985
San Felipe,10.34,-68.74,85.82,64,69,0.49,VE,1595866987
Road Town,18.42,-64.62,91.4,59,20,9.17,VG,1595866794
Okato,-39.2,173.88,44.01,67,69,8.01,NZ,1595866989
Chiang Rai,19.91,99.83,73.4,100,40,3.36,TH,1595866990
Arkhipo-Osipovka,44.37,38.52,76.98,73,0,2.57,RU,1595866991
Kingston,18.0,-76.79,89.6,66,20,13.87,JM,1595866786
Fonte Boa,-2.5,-66.27,88.95,55,0,2.93,BR,1595866997
Mayo,38.89,-76.51,91.99,52,1,6.93,US,1595866960
Beira,-19.84,34.84,69.01,88,75,18.34,MZ,1595866915
Srednekolymsk,67.45,153.68,51.55,74,43,6.62,RU,1595867004
Santa Vitória do Palmar,-33.52,-53.37,57.13,71,3,6.67,BR,1595867007
Yārāda,17.65,83.27,84.2,83,40,5.82,IN,1595867008
Talnakh,69.49,88.4,51.8,57,99,8.95,RU,1595867009
Mānvi,15.98,77.05,82.8,69,100,7.0,IN,1595867011
Santa Marta,11.24,-74.2,86.0,74,75,5.82,CO,1595866774
Mpanda,-6.37,31.04,76.14,33,63,2.19,TZ,1595867016
Chadan,51.28,91.58,62.02,65,100,4.61,RU,1595867018
San Juan,-31.54,-68.54,55.4,38,0,20.76,AR,1595867019
Ancud,-41.87,-73.82,50.0,75,75,5.82,CL,1595866922
Assaí,-23.37,-50.84,78.8,50,100,6.93,BR,1595867021
Sennar,13.57,33.57,84.7,57,92,6.4,SD,1595867022
Kroya,-7.63,109.25,74.82,85,79,7.65,ID,1595867024
Antofagasta,-23.65,-70.4,59.0,62,20,8.05,CL,1595866868
Werl,51.55,7.92,77.0,71,83,9.57,DE,1595867026
Abu Dhabi,24.47,54.37,98.6,63,1,9.17,AE,1595867027
Uyemskiy,64.47,40.85,71.6,64,20,6.71,RU,1595867028
Fes,34.04,-5.0,100.4,27,40,9.17,MA,1595867030
Moba,33.23,105.02,61.65,92,99,3.71,CN,1595867031
Aldan,58.6,125.39,62.29,90,51,8.79,RU,1595867032
Tiarei,-17.53,-149.33,75.2,78,40,4.7,PF,1595867033
Athens,37.98,23.72,91.99,47,12,5.01,GR,1595867035
Višegrad,43.78,19.3,71.6,60,20,6.93,BA,1595867036
Hamilton,39.18,-84.53,89.01,66,40,8.05,US,1595866759
Kurumkan,54.3,110.3,61.39,83,98,2.59,RU,1595867038
Coalinga,36.14,-120.36,80.01,42,0,5.99,US,1595867039
Plácido de Castro,-10.34,-67.19,93.49,35,0,0.92,BR,1595867040
East Stroudsburg,41.0,-75.18,91.0,58,24,1.01,US,1595867041
Ulaangom,49.98,92.07,70.11,36,77,5.86,MN,1595866806
Ternate,0.8,127.4,80.06,80,53,5.17,ID,1595867044
Nāgothana,18.53,73.13,87.01,94,40,3.36,IN,1595866866
Olafsvik,64.89,-23.71,49.12,77,4,16.24,IS,1595867047
Kloulklubed,7.04,134.26,77.0,94,75,4.7,PW,1595867049
City of Catbalogan,11.85,124.92,74.48,94,87,2.64,PH,1595867050
Cap Malheureux,-19.98,57.61,70.0,77,70,1.99,MU,1595867053
Karratha,-20.74,116.85,66.7,42,0,4.76,AU,1595867054
Okhotsk,59.38,143.3,56.12,89,100,3.13,RU,1595866831
Bayjī,34.93,43.49,108.73,8,0,5.99,IQ,1595867061
Talaya,61.38,152.75,63.86,57,69,3.56,RU,1595867062
Kangaatsiaq,68.31,-53.46,43.81,90,100,11.12,GL,1595866921
Coquimbo,-29.95,-71.34,60.8,63,14,11.41,CL,1595867066
Miles City,46.41,-105.84,78.8,31,1,6.93,US,1595866955
Husavik,66.04,-17.34,51.8,62,77,17.22,IS,1595867070
Pichayevo,53.24,42.2,71.02,61,36,3.94,RU,1595867071
Umm Kaddadah,13.6,26.69,95.79,28,2,5.95,SD,1595867073
Fort Nelson,58.81,-122.7,62.6,67,75,9.17,CA,1595867074
Athabasca,54.72,-113.29,71.01,66,0,3.13,CA,1595866824
Verkhoyansk,67.54,133.38,50.45,80,62,6.82,RU,1595867027
Pevek,69.7,170.31,34.0,90,62,11.83,RU,1595867081
Wanaka,-44.7,169.15,32.0,83,98,2.26,NZ,1595867082
Viedma,-40.81,-63.0,46.99,63,76,5.99,AR,1595866948
Peace River,56.25,-117.29,64.4,77,5,4.7,CA,1595866918
Ol'ga,43.74,135.29,60.39,93,16,5.1,RU,1595867087
Saint Anthony,45.02,-93.22,80.01,47,1,12.75,US,1595867088
Pemangkat,1.17,108.97,78.12,86,100,4.61,ID,1595867090
Alofi,-19.06,-169.92,71.6,88,75,10.29,NU,1595867092
Kuliyapitiya,7.47,80.04,82.4,83,20,5.82,LK,1595867093
Piancó,-7.2,-37.93,86.76,38,94,13.73,BR,1595867095
Hīt,33.64,42.83,109.53,8,1,8.77,IQ,1595866936
Perevoz,55.6,44.54,68.65,67,15,3.49,RU,1595867097
Kidal,18.44,1.41,97.97,27,92,8.63,ML,1595867098
Gilbués,-9.83,-45.34,88.99,27,0,12.75,BR,1595867100
Kletskaya,49.31,43.06,84.99,26,88,5.99,RU,1595866822
Khandyga,62.67,135.6,61.27,66,100,4.18,RU,1595867102
Lata,40.16,-8.33,82.99,66,0,5.01,PT,1595867104
Puquio,-14.7,-74.13,61.57,21,0,3.2,PE,1595867105
Malinovoye Ozero,51.68,79.78,68.02,48,74,2.73,RU,1595866867
Palmer,42.16,-72.33,91.0,51,20,5.82,US,1595866831
Roebourne,-20.78,117.13,67.26,38,0,5.75,AU,1595867109
Wuxi,31.57,120.29,82.99,86,100,2.26,CN,1595867110
Xinzhi,36.5,111.7,75.83,70,0,6.42,CN,1595867112
Sumbe,-11.21,13.84,73.56,73,0,7.61,AO,1595867113
Lokosovo,61.13,74.82,52.07,67,45,6.76,RU,1595867114
Sola,-13.88,167.55,80.28,83,65,23.13,VU,1595867119
Korla,41.76,86.15,86.31,28,73,24.85,CN,1595866916
