City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Quatre Cocos,-20.21,57.76,-20.21,293.15,52,75,MU,1595522764
Hasaki,35.73,140.83,35.73,295.15,100,75,JP,1595522765
Muros,42.78,-9.06,42.78,300.93,57,20,ES,1595522550
Sergeevka,53.88,67.42,53.88,290.34,88,98,KZ,1595522767
Hilo,19.73,-155.09,19.73,295.15,83,75,US,1595522484
Bāsudebpur,21.14,86.74,21.14,300.88,81,100,IN,1595522769
Necochea,-38.55,-58.74,-38.55,284.82,48,100,AR,1595522540
Chui,-33.7,-53.46,-33.7,292.3,94,100,UY,1595522772
Amapá,1.0,-52.0,1.0,301.34,76,55,BR,1595522773
Cabo San Lucas,22.89,-109.91,22.89,303.15,74,5,MX,1595522662
Mahébourg,-20.41,57.7,-20.41,293.15,52,75,MU,1595522607
Saskylakh,71.92,114.08,71.92,282.91,94,96,RU,1595522776
Hermanus,-34.42,19.23,-34.42,286.48,88,0,ZA,1595522777
Kawalu,-7.38,108.21,-7.38,294.83,89,99,ID,1595522778
Faanui,-16.48,-151.75,-16.48,298.57,78,6,PF,1595522629
Nanortalik,60.14,-45.24,60.14,281.73,91,100,GL,1595522780
Kirovsk,48.64,38.64,48.64,292.02,53,52,UA,1595522782
Touros,-5.2,-35.46,-5.2,302.15,58,75,BR,1595522783
Lompoc,34.64,-120.46,34.64,289.26,82,78,US,1595522784
Bandarbeyla,9.49,50.81,9.49,298.13,77,78,SO,1595522785
Amiens,49.9,2.3,49.9,297.59,36,100,FR,1595522786
Bredasdorp,-34.53,20.04,-34.53,287.15,87,0,ZA,1595522555
Kaitangata,-46.28,169.85,-46.28,276.48,77,55,NZ,1595522789
Coracora,-15.03,-73.78,-15.03,289.44,28,40,PE,1595522790
Vao,-22.67,167.48,-22.67,293.73,76,4,NC,1595522792
Saint George,37.1,-113.58,37.1,306.48,27,1,US,1595522718
Tilichiki,60.47,166.1,60.47,280.39,93,0,RU,1595522795
Kashgar,39.45,75.98,39.45,302.59,87,78,CN,1595522798
Khovd,48.01,91.64,48.01,292.76,55,67,MN,1595522577
Lüderitz,-26.65,15.16,-26.65,300.15,21,0,NA,1595522801
Jamestown,42.1,-79.24,42.1,299.82,83,90,US,1595522632
Conakry,9.54,-13.68,9.54,302.15,83,75,GN,1595522803
Bow Island,49.87,-111.37,49.87,299.15,57,75,CA,1595522805
Cape Town,-33.93,18.42,-33.93,290.37,77,0,ZA,1595522529
Hithadhoo,-0.6,73.08,-0.6,301.62,69,99,MV,1595522553
Mirny,62.54,113.96,62.54,287.15,100,1,RU,1595522808
Khanbari,27.37,87.2,27.37,296.9,76,99,NP,1595522812
Sitka,57.05,-135.33,57.05,285.15,93,90,US,1595522803
Faya,18.39,42.45,18.39,296.15,83,20,SA,1595522815
Neuquén,-38.95,-68.06,-38.95,278.15,86,75,AR,1595522816
Longyearbyen,78.22,15.64,78.22,283.15,76,90,SJ,1595522817
Los Llanos de Aridane,28.66,-17.92,28.66,298.15,65,20,ES,1595522818
Ciudad Guayana,8.35,-62.65,8.35,303.71,65,97,VE,1595522819
Dikson,73.51,80.55,73.51,278.57,87,21,RU,1595522820
Norman Wells,65.28,-126.83,65.28,284.15,93,75,CA,1595522527
São Filipe,14.9,-24.5,14.9,299.09,86,68,CV,1595522534
Coquimbo,-29.95,-71.34,-29.95,288.15,47,4,CL,1595522824
Caravelas,-17.71,-39.25,-17.71,298.19,63,20,BR,1595522669
Gravdal,68.12,13.5,68.12,283.15,93,75,NO,1595522826
Okha,53.57,142.95,53.57,279.89,94,7,RU,1595522827
Clyde River,70.47,-68.59,70.47,283.15,57,90,CA,1595522828
Mehrān,33.12,46.16,33.12,306.15,19,20,IR,1595522830
Tuktoyaktuk,69.45,-133.04,69.45,284.15,76,75,CA,1595522720
Codrington,-38.27,141.97,-38.27,277.23,87,90,AU,1595522832
Mgandu,-5.95,34.13,-5.95,293.08,41,4,TZ,1595522833
Klaksvík,62.23,-6.59,62.23,285.15,81,28,FO,1595522834
Bluff,-46.6,168.33,-46.6,277.04,83,87,NZ,1595522835
Honningsvåg,70.98,25.97,70.98,283.15,93,90,NO,1595522836
Katsuura,35.13,140.3,35.13,295.93,91,100,JP,1595522703
Chenghai,23.46,116.77,23.46,302.15,83,37,CN,1595522839
Arlit,18.74,7.39,18.74,311.15,19,48,NE,1595522843
Poplar Bluff,36.76,-90.39,36.76,302.15,74,1,US,1595522844
Trincomalee,8.57,81.23,8.57,301.49,76,100,LK,1595522846
Carnarvon,-24.87,113.63,-24.87,290.15,100,0,AU,1595522551
Kokopo,-4.35,152.26,-4.35,298.37,81,23,PG,1595522848
Coos Bay,43.37,-124.22,43.37,289.82,100,90,US,1595522573
Nísia Floresta,-6.09,-35.21,-6.09,302.15,54,20,BR,1595522850
Fortuna,40.6,-124.16,40.6,287.04,100,90,US,1595522844
Bixby,35.94,-95.88,35.94,301.15,74,90,US,1595522642
Fare,-16.7,-151.02,-16.7,298.45,79,7,PF,1595522853
Hervey Bay,-25.3,152.85,-25.3,288.15,95,94,AU,1595522846
Pendências,-5.26,-36.72,-5.26,305.45,44,69,BR,1595522856
College,64.86,-147.8,64.86,285.15,81,75,US,1595522857
Areosa,41.72,-8.86,41.72,302.59,73,0,PT,1595522702
Iqaluit,63.75,-68.51,63.75,282.15,87,75,CA,1595522587
Kindia,10.06,-12.87,10.06,299.48,89,79,GN,1595522862
Thyborøn,56.7,8.21,56.7,288.15,62,100,DK,1595522863
Hondomachi-hondo,32.45,130.2,32.45,300.93,83,100,JP,1595522866
Nuuk,64.18,-51.72,64.18,284.15,81,75,GL,1595522868
Strathmore,51.05,-113.39,51.05,292.04,96,91,CA,1595522869
Oyama,36.3,139.8,36.3,298.71,94,75,JP,1595522820
New Norfolk,-42.78,147.06,-42.78,278.15,87,99,AU,1595522697
Mitsamiouli,-11.38,43.28,-11.38,298.15,57,20,KM,1595522874
Petatlán,17.52,-101.27,17.52,304.15,62,75,MX,1595522875
São Miguel do Araguaia,-13.28,-50.16,-13.28,306.92,21,0,BR,1595522817
Khuzhir,53.19,107.34,53.19,286.21,82,9,RU,1595522877
Hong Kong,22.29,114.16,22.29,303.15,74,12,HK,1595522494
Batagay-Alyta,67.8,130.41,67.8,287.83,69,7,RU,1595522880
Palmer,42.16,-72.33,42.16,303.15,66,75,US,1595522881
Mar del Plata,-38.0,-57.56,-38.0,286.48,100,90,AR,1595522279
Pokaran,26.92,71.92,26.92,310.17,36,35,IN,1595522883
‘Āhuimanu,21.44,-157.84,21.44,298.71,78,75,US,1595522884
Labuhan,-6.88,112.21,-6.88,298.09,82,91,ID,1595522886
Zyryanka,65.75,150.85,65.75,290.93,59,90,RU,1595522887
Emerald,-23.53,148.17,-23.53,288.15,93,90,AU,1595522890
Oskaloosa,41.3,-92.64,41.3,301.15,61,1,US,1595522891
Edendale,-29.65,30.31,-29.65,284.53,55,0,ZA,1595522893
Paamiut,61.99,-49.67,61.99,281.08,96,100,GL,1595522894
Yellowknife,62.46,-114.35,62.46,288.71,93,90,CA,1595522455
Greenville,35.61,-77.37,35.61,308.15,56,40,US,1595522896
Hualmay,-11.1,-77.61,-11.1,292.25,71,61,PE,1595522897
Poum,-20.23,164.02,-20.23,294.99,79,6,NC,1595522899
Ambovombe,-25.17,46.08,-25.17,290.35,70,13,MG,1595522900
Chālūs,36.66,51.42,36.66,298.15,88,90,IR,1595522901
São Gabriel da Cachoeira,-0.13,-67.09,-0.13,301.15,78,75,BR,1595522902
Kahului,20.89,-156.47,20.89,296.48,73,20,US,1595522904
Vardø,70.37,31.11,70.37,286.15,87,75,NO,1595522905
Ayagoz,47.97,80.44,47.97,292.58,37,0,KZ,1595522907
Sheridan,44.83,-106.92,44.83,304.15,25,20,US,1595522908
Flin Flon,54.77,-101.86,54.77,295.15,78,75,CA,1595522724
Taoudenni,22.68,-3.98,22.68,319.56,9,18,ML,1595522910
Darnah,32.77,22.64,32.77,299.23,70,0,LY,1595522912
Hillsborough,37.57,-122.38,37.57,291.48,72,40,US,1595522913
Mehamn,71.04,27.85,71.04,283.15,93,90,NO,1595522914
Baghdad,33.34,44.4,33.34,318.15,10,0,IQ,1595522678
Port Blair,11.67,92.75,11.67,301.32,74,78,IN,1595522916
Chokurdakh,70.63,147.92,70.63,290.78,72,38,RU,1595522850
Vestmannaeyjar,63.44,-20.27,63.44,285.15,81,75,IS,1595522919
Qandala,11.47,49.87,11.47,304.46,59,73,SO,1595522921
Iskateley,67.68,53.15,67.68,295.85,65,3,RU,1595522922
Aklavik,68.22,-135.01,68.22,285.15,62,75,CA,1595522923
Lagoa,39.05,-27.98,39.05,294.06,70,0,PT,1595522926
Cotonou,6.37,2.42,6.37,301.15,78,20,BJ,1595522928
Tongliao,43.61,122.27,43.61,298.54,49,0,CN,1595522930
Kasongo,-4.45,26.67,-4.45,302.69,30,40,CD,1595522933
Santa Cruz,30.42,-9.6,30.42,301.15,58,1,MA,1595522961
Alihe,50.57,123.72,50.57,293.03,74,72,CN,1595522964
Lebu,-37.62,-73.65,-37.62,282.68,62,46,CL,1595522965
Buena Vista,43.42,-83.9,43.42,297.04,78,90,US,1595522967
Mwense,-10.38,28.7,-10.38,292.63,33,0,ZM,1595522973
Vila,42.03,-8.16,42.03,305.37,51,0,PT,1595522975
Hutchinson,38.06,-97.93,38.06,304.82,66,1,US,1595522977
Westport,41.14,-73.36,41.14,301.48,74,1,US,1595522734
Lima,-12.04,-77.03,-12.04,289.15,82,75,PE,1595522450
Port Elizabeth,-33.92,25.57,-33.92,290.15,77,0,ZA,1595522844
Fairbanks,64.84,-147.72,64.84,285.37,93,90,US,1595522902
Arman',59.7,150.17,59.7,285.67,77,93,RU,1595522985
Yangi Marg`ilon,40.43,71.72,40.43,302.15,35,10,UZ,1595522527
San Quintín,30.48,-115.95,30.48,293.51,65,56,MX,1595522987
Kumluca,36.37,30.29,36.37,302.92,45,0,TR,1595522988
Lorengau,-2.02,147.27,-2.02,301.19,79,46,PG,1595522990
Kampot,10.62,104.18,10.62,299.15,88,40,KH,1595522993
Gazli,40.13,63.45,40.13,303.98,25,89,UZ,1595522994
Dutlwe,-23.98,23.9,-23.98,286.9,36,0,BW,1595522997
Kango,0.19,10.1,0.19,300.3,67,86,GA,1595522999
Dvinskoy,62.15,45.12,62.15,289.31,96,100,RU,1595523002
Lichuan,30.3,108.85,30.3,293.76,96,100,CN,1595523004
Lavrentiya,65.58,-171.0,65.58,285.01,57,100,RU,1595523006
Ploemeur,47.73,-3.43,47.73,299.26,41,53,FR,1595523007
Sampit,-2.53,112.95,-2.53,296.49,97,100,ID,1595523008
Chase,50.82,-119.69,50.82,293.15,73,44,CA,1595523010
Bandrele,-12.91,45.19,-12.91,298.15,61,40,YT,1595523011
Qasigiannguit,68.82,-51.19,68.82,286.15,43,75,GL,1595522798
Redmond,47.67,-122.12,47.67,290.37,82,99,US,1595523013
Souillac,-20.52,57.52,-20.52,293.15,52,75,MU,1595523015
Saint-Marc,19.11,-72.69,19.11,303.13,62,54,HT,1595523017
Pangai,-19.8,-174.35,-19.8,297.03,76,33,TO,1595523018
Gazojak,41.19,61.4,41.19,303.31,32,98,TM,1595523021
Pisco,-13.7,-76.22,-13.7,292.59,77,20,PE,1595523022
Enumclaw,47.2,-121.99,47.2,289.82,83,90,US,1595523024
Tessalit,20.2,1.01,20.2,313.86,15,52,ML,1595523026
Tornio,65.85,24.15,65.85,287.15,93,90,FI,1595523027
Kailua,21.4,-157.74,21.4,298.71,78,75,US,1595523028
Sobolevo,54.43,31.9,54.43,287.36,83,5,RU,1595523029
Bac Lieu,9.29,105.72,9.29,301.32,73,100,VN,1595523031
Båtsfjord,70.63,29.72,70.63,283.15,93,90,NO,1595523033
Makīnsk,52.63,70.42,52.63,291.1,66,100,KZ,1595523035
Leningradskiy,69.38,178.42,69.38,280.83,72,96,RU,1595523036
Beibei,29.83,106.43,29.83,303.15,79,96,CN,1595523037
Scottsboro,34.67,-86.03,34.67,303.15,74,1,US,1595522757
Chara,56.91,118.26,56.91,288.86,84,98,RU,1595523039
Bukama,-9.2,25.85,-9.2,298.5,27,2,CD,1595523040
Coyhaique,-45.58,-72.07,-45.58,269.15,79,90,CL,1595523042
Meulaboh,4.14,96.13,4.14,297.4,91,100,ID,1595523043
Vigrestad,58.57,5.7,58.57,288.15,89,100,NO,1595523044
Hyères,43.12,6.12,43.12,305.37,66,3,FR,1595523045
Dodge City,37.75,-100.02,37.75,302.59,69,1,US,1595523050
Ponta do Sol,32.67,-17.1,32.67,295.93,65,0,PT,1595523051
Esperance,-33.87,121.9,-33.87,282.15,81,40,AU,1595522537
Pemba,-12.97,40.52,-12.97,297.15,69,75,MZ,1595523053
Saint-Paul,-21.01,55.27,-21.01,292.15,55,20,RE,1595523054
Nuevitas,21.55,-77.26,21.55,303.15,70,75,CU,1595523055
Businga,3.33,20.88,3.33,296.69,89,56,CD,1595523057
Laas,46.62,10.7,46.62,295.15,37,75,IT,1595523058
Ubari,26.59,12.78,26.59,306.5,15,0,LY,1595523059
Barranco,9.52,-82.7,9.52,303.15,70,75,PA,1595523060
Wainwright,52.84,-110.86,52.84,293.47,82,50,CA,1595523061
Maridi,4.92,29.47,4.92,293.82,95,53,SS,1595523062
Makakilo City,21.35,-158.09,21.35,296.15,83,1,US,1595523064
Bahir Dar,11.59,37.39,11.59,289.58,93,100,ET,1595523065
Milledgeville,33.08,-83.23,33.08,307.04,55,75,US,1595523066
Tsiroanomandidy,-18.77,46.03,-18.77,289.1,44,0,MG,1595523068
Puerto El Triunfo,13.28,-88.55,13.28,305.15,94,46,SV,1595523069
Abalak,58.13,68.59,58.13,286.82,69,0,RU,1595523070
Althofen,46.88,14.47,46.88,299.15,50,20,AT,1595523071
Aguascalientes,21.88,-102.3,21.88,294.15,56,75,MX,1595522903
Sunrise Manor,36.21,-115.07,36.21,307.04,19,1,US,1595522951
Lalibela,12.03,39.03,12.03,289.42,84,92,ET,1595523075
Myitkyina,25.38,97.4,25.38,296.51,92,100,MM,1595523077
Beāwar,26.1,74.32,26.1,304.5,54,16,IN,1595522956
Hambantota,6.12,81.12,6.12,300.33,81,82,LK,1595523081
Cherskiy,68.75,161.3,68.75,290.45,65,29,RU,1595523082
Yumen,40.28,97.2,40.28,297.67,35,98,CN,1595523084
Nouakchott,18.09,-15.98,18.09,302.15,70,90,MR,1595523086
Sibu,2.3,111.82,2.3,297.15,94,40,MY,1595523087
Gigmoto,13.78,124.39,13.78,300.77,79,17,PH,1595523090
Smidovich,48.6,133.82,48.6,290.56,96,100,RU,1595523091
Dudinka,69.41,86.18,69.41,282.15,76,47,RU,1595523092
Petropavlovka,50.61,105.32,50.61,287.28,78,41,RU,1595523093
Oktyabr'skoye,43.06,44.74,43.06,300.15,47,92,RU,1595523094
Ust-Maya,60.42,134.53,60.42,286.36,82,0,RU,1595523096
Kamaishi,39.27,141.88,39.27,292.11,88,83,JP,1595523097
Dingle,11.0,122.67,11.0,298.18,85,89,PH,1595523098
Moose Factory,51.26,-80.61,51.26,296.15,56,1,CA,1595523102
Quelimane,-17.88,36.89,-17.88,292.41,83,63,MZ,1595522550
Cockburn Town,21.46,-71.14,21.46,303.15,66,40,TC,1595523104
Cam Ranh,11.92,109.16,11.92,298.15,94,75,VN,1595523106
Pincher Creek,49.48,-113.95,49.48,297.04,53,1,CA,1595523110
Isangel,-19.55,169.27,-19.55,295.66,84,83,VU,1595522531
Vestmanna,62.16,-7.17,62.16,285.15,81,78,FO,1595523112
Port Augusta,-32.5,137.77,-32.5,278.71,80,24,AU,1595523113
Katangli,51.71,143.23,51.71,282.86,92,98,RU,1595523114
Bara,10.37,10.73,10.37,301.06,71,97,NG,1595523115
Pangnirtung,66.15,-65.71,66.15,284.15,87,90,CA,1595523116
Tshela,-4.98,12.93,-4.98,299.76,54,9,CD,1595523120
Konëvo,62.12,39.32,62.12,287.44,95,100,RU,1595523011
Valdivia,-39.81,-73.25,-39.81,282.15,61,10,CL,1595522869
Kapiri Mposhi,-13.97,28.68,-13.97,287.45,50,1,ZM,1595523127
Mandera,3.94,41.87,3.94,302.85,40,35,KE,1595523128
Saint Anthony,45.02,-93.22,45.02,297.04,60,40,US,1595523130
Cravo Norte,6.3,-70.2,6.3,302.66,71,70,CO,1595523131
Tuy Hoa,13.08,109.3,13.08,298.81,85,100,VN,1595523132
Maceió,-9.67,-35.74,-9.67,301.15,65,40,BR,1595523133
Rengo,-34.42,-70.87,-34.42,283.15,61,75,CL,1595523134
Husavik,66.04,-17.34,66.04,284.15,71,75,IS,1595523135
Beatrice,40.27,-96.75,40.27,303.15,74,1,US,1595522960
Narsaq,60.92,-46.05,60.92,291.15,31,75,GL,1595523138
Awjilah,29.11,21.29,29.11,306.11,23,0,LY,1595523139
Margate,51.38,1.39,51.38,297.15,41,98,GB,1595522563
Nhulunbuy,-12.23,136.77,-12.23,296.15,88,75,AU,1595523141
Sādri,25.18,73.43,25.18,303.71,61,13,IN,1595523142
Buala,-8.14,159.59,-8.14,300.43,81,99,SB,1595523143
Koppies,-27.24,27.57,-27.24,283.49,36,0,ZA,1595523144
Bad Dürrenberg,51.3,12.07,51.3,297.15,36,55,DE,1595523146
Cariati,39.49,16.96,39.49,305.37,43,0,IT,1595523147
Zhangye,38.93,100.45,38.93,295.62,48,97,CN,1595523148
Galesong,-5.32,119.37,-5.32,296.15,78,20,ID,1595523149
Buchanan,5.88,-10.05,5.88,298.52,83,91,LR,1595523140
Baião,-2.79,-49.67,-2.79,307.38,36,11,BR,1595523152
Mayo,38.89,-76.51,38.89,304.82,66,1,US,1595523153
Skibbereen,51.55,-9.27,51.55,294.15,60,75,IE,1595523154
Sainte-Marie,-20.9,55.55,-20.9,292.15,55,20,RE,1595523155
Voh,-20.97,164.7,-20.97,291.07,88,2,NC,1595523156
Ribeira Grande,38.52,-28.7,38.52,296.15,69,20,PT,1595522632
Pronsk,54.1,39.61,54.1,287.09,82,14,RU,1595523158
São José da Coroa Grande,-8.9,-35.15,-8.9,299.25,70,62,BR,1595523125
Takoradze,4.88,-1.76,4.88,298.52,79,99,GH,1595523161
Adrar,20.5,-10.07,20.5,314.7,15,0,MR,1595523162
Kenora,49.82,-94.43,49.82,297.15,50,20,CA,1595523087
Shelburne,44.08,-80.2,44.08,297.04,64,75,CA,1595523164
Bequimão,-2.45,-44.78,-2.45,304.15,58,40,BR,1595523165
Ribeira do Pombal,-10.83,-38.54,-10.83,301.74,40,82,BR,1595523166
Andover,51.21,-1.48,51.21,294.15,60,75,GB,1595523168
Champerico,14.3,-91.92,14.3,303.15,70,20,GT,1595523169
Batagay,67.63,134.63,67.63,291.04,56,59,RU,1595523170
Abu Samrah,35.3,37.18,35.3,304.44,33,0,SY,1595523171
Arroio Grande,-32.24,-53.09,-32.24,298.15,61,100,BR,1595523172
Camacha,33.08,-16.33,33.08,295.15,64,75,PT,1595523173
Darhan,49.49,105.92,49.49,288.17,86,86,MN,1595523174
Nome,64.5,-165.41,64.5,280.15,87,90,US,1595523175
Bereda,43.27,-7.54,43.27,302.04,47,45,ES,1595523177
Anadyr,64.75,177.48,64.75,284.15,87,47,RU,1595523178
Ngunguru,-35.62,174.5,-35.62,282.59,3,93,NZ,1595523004
Ilulissat,69.22,-51.1,69.22,286.15,43,75,GL,1595522696
Kiryat Gat,31.61,34.76,31.61,302.59,60,0,IL,1595523062
Brigantine,39.41,-74.36,39.41,304.26,70,1,US,1595523182
Noumea,-22.28,166.46,-22.28,291.15,77,0,NC,1595522518
Bariloche,-41.15,-71.31,-41.15,270.15,73,20,AR,1595522885
Ambon City,-3.7,128.18,-3.7,298.71,15,25,ID,1595523186
Yulara,-25.24,130.99,-25.24,280.15,56,0,AU,1595523187
Maun,-19.98,23.42,-19.98,288.76,32,0,BW,1595523188
Bonavista,48.65,-53.11,48.65,291.51,63,18,CA,1595523190
Menongue,-14.66,17.69,-14.66,290.43,28,0,AO,1595523191
São João da Barra,-21.64,-41.05,-21.64,301.15,45,20,BR,1595522699
Tungor,53.38,142.96,53.38,278.69,97,7,RU,1595523193
Zaraza,9.35,-65.32,9.35,302.09,79,45,VE,1595523195
Juneau,58.3,-134.42,58.3,285.93,93,90,US,1595523007
San Patricio,19.22,-104.7,19.22,305.15,75,75,MX,1595523198
Tuatapere,-46.13,167.68,-46.13,277.04,83,90,NZ,1595523199
Bolivar,37.61,-93.41,37.61,303.71,64,9,US,1595523085
Kendal,54.33,-2.75,54.33,289.82,98,100,GB,1595523201
Novopetrovskoye,55.99,36.47,55.99,290.15,45,40,RU,1595523202
Alyangula,-13.85,136.42,-13.85,291.15,100,0,AU,1595523203
Jertih,5.73,102.49,5.73,301.15,78,20,MY,1595523205
Oranjestad,12.52,-70.03,12.52,304.15,66,75,AW,1595523066
Gold Coast,-28.0,153.43,-28.0,288.71,93,75,AU,1595523207
Ulladulla,-35.35,150.47,-35.35,281.15,100,74,AU,1595523209
Tulun,54.56,100.58,54.56,286.65,87,9,RU,1595523210
Andenes,69.31,16.12,69.31,283.15,93,75,NO,1595523211
Tukan,53.84,57.46,53.84,287.83,98,97,RU,1595523212
San Cristobal,7.77,-72.22,7.77,306.15,41,20,VE,1595523213
Aksarka,66.56,67.8,66.56,284.98,67,51,RU,1595523214
Marsá Maţrūḩ,31.35,27.25,31.35,300.15,69,0,EG,1595523216
Bubaque,11.28,-15.83,11.28,300.32,83,100,GW,1595523124
Pingliang,35.54,106.69,35.54,291.31,91,100,CN,1595523218
